Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-21,09:05:00,172.2,175.4,172.2,173.2,4403,0
2017-02-21,09:10:00,174.5,175.5,174.5,175.2,930,0
2017-02-21,09:15:00,175,177.1,175,175,2913,0
2017-02-21,09:20:00,177,178,176,177.9,1745,0
2017-02-21,09:25:00,178,178.1,177.5,178,579,0
2017-02-21,09:30:00,178,178,177.1,178,187,0
2017-02-21,09:35:00,178,178,177.9,177.9,31,0
2017-02-21,09:40:00,177.5,177.9,177.5,177.5,771,0
2017-02-21,09:45:00,177.5,177.85,177.5,177.5,344,0
2017-02-21,09:50:00,177.5,178,177.5,178,1279,0
2017-02-21,09:55:00,178,178,177.6,177.7,340,0
2017-02-21,10:00:00,177.7,177.95,177.5,177.5,1548,0
2017-02-21,10:05:00,177.95,178,177.5,177.95,295,0
2017-02-21,10:10:00,177.95,179.9,177.95,179.75,1425,0
2017-02-21,10:15:00,179.75,181.25,179.05,181.25,1399,0
2017-02-21,10:20:00,181.2,183.15,181.2,183,1848,0
2017-02-21,10:25:00,183,183.3,182.8,182.95,812,0
2017-02-21,10:30:00,182.7,182.9,181.95,181.95,283,0
2017-02-21,10:35:00,181.6,183,181.35,182.95,470,0
2017-02-21,10:40:00,182.95,183,182.9,182.95,325,0
2017-02-21,10:45:00,182.1,182.95,182.05,182.9,262,0
2017-02-21,10:50:00,182.25,182.55,182,182,661,0
2017-02-21,10:55:00,181.95,182.5,181.7,182.05,133,0
2017-02-21,11:00:00,182.1,182.35,181.95,181.95,154,0
2017-02-21,11:05:00,181.95,182,181.95,181.95,198,0
2017-02-21,11:10:00,182,182,180.15,180.15,373,0
2017-02-21,11:15:00,180.95,181.05,180,180,1443,0
2017-02-21,11:20:00,181.8,181.8,180,181,1177,0
2017-02-21,11:25:00,181,181.75,180,181.4,1507,0
2017-02-21,11:30:00,180.2,181.15,180.05,181.15,90,0
2017-02-21,11:35:00,180.95,180.95,180,180,106,0
2017-02-21,11:40:00,179.1,179.8,178.6,179.8,264,0
2017-02-21,11:45:00,179.8,180,179.8,179.8,58,0
2017-02-21,11:50:00,180,184,180,183.1,1291,0
2017-02-21,11:55:00,182.75,182.8,182.75,182.8,15,0
2017-02-21,12:00:00,182,182,181.8,181.8,67,0
2017-02-21,12:05:00,181,181.75,180,181.75,341,0
2017-02-21,12:10:00,180.55,181,180.55,180.55,32,0
2017-02-21,12:15:00,180.8,181.75,180.8,181.75,82,0
2017-02-21,12:20:00,181.7,181.7,181.7,181.7,23,0
2017-02-21,12:25:00,181.7,181.75,180.9,181,460,0
2017-02-21,12:30:00,180.7,180.7,180,180.6,403,0
2017-02-21,12:35:00,180.95,181,180.9,181,108,0
2017-02-21,12:40:00,181,181.7,181,181.7,214,0
2017-02-21,12:45:00,181.7,181.75,181,181,638,0
2017-02-21,12:50:00,180.65,181.5,180.65,181.5,280,0
2017-02-21,12:55:00,181.5,181.5,181,181,52,0
2017-02-21,13:00:00,181,181.5,181,181.5,51,0
2017-02-21,13:05:00,181,181,181,181,1,0
2017-02-21,13:15:00,181,181,181,181,44,0
2017-02-21,13:20:00,181,181,181,181,507,0
2017-02-21,13:25:00,181,181,181,181,201,0
2017-02-21,13:30:00,181,181,181,181,272,0
2017-02-21,13:35:00,181,181,181,181,543,0
2017-02-21,13:40:00,181,181.3,181,181.2,1155,0
2017-02-21,13:45:00,181.2,181.2,180.9,180.9,221,0
2017-02-21,13:50:00,181,181,181,181,114,0
2017-02-21,13:55:00,181,181,181,181,193,0
2017-02-21,14:00:00,181,181,181,181,95,0
2017-02-21,14:10:00,181,181,180.95,181,126,0
2017-02-21,14:15:00,180.9,180.9,180,180,390,0
2017-02-21,14:20:00,180.8,180.8,180,180,832,0
2017-02-21,14:25:00,180,181,180,180.8,203,0
2017-02-21,14:35:00,180.6,180.9,180.6,180.9,290,0
2017-02-21,14:40:00,180.9,180.9,180.9,180.9,52,0
2017-02-21,14:45:00,180.9,181,180.9,181,185,0
2017-02-21,14:50:00,180.9,180.9,180.8,180.8,44,0
2017-02-21,14:55:00,180.05,180.75,180,180.5,118,0
2017-02-21,15:00:00,180.8,181,180.8,181,284,0
2017-02-21,15:05:00,181,181,180.95,181,292,0
2017-02-21,15:10:00,180.5,181,180.5,181,188,0
2017-02-21,15:15:00,181,181,181,181,174,0
2017-02-21,15:20:00,181,181,181,181,121,0
2017-02-21,15:25:00,180.9,180.9,180.9,180.9,153,0
2017-02-21,15:30:00,180.9,181,180.05,180.05,263,0
2017-02-21,15:35:00,181,181,181,181,30,0
2017-02-21,15:40:00,181,181,181,181,185,0
2017-02-21,15:45:00,181,181,181,181,144,0
2017-02-21,15:50:00,181,181.5,181,181.5,72,0
2017-02-21,15:55:00,181.5,182.1,181.5,182.1,530,0
2017-02-21,16:05:00,182,183.65,182,183.65,57,0
2017-02-21,16:10:00,183.8,185,183.8,184.5,3084,0
2017-02-21,16:15:00,184,184.95,183.5,184.1,245,0
2017-02-21,16:20:00,184.9,185,184.9,185,291,0
2017-02-21,16:25:00,185,185,185,185,122,0
2017-02-21,16:30:00,184.45,184.95,182,184,960,0
2017-02-21,16:35:00,184,184.9,184,184.85,517,0
2017-02-21,16:40:00,184.85,184.9,184,184.9,511,0
2017-02-21,16:45:00,184.05,185,184,185,457,0
2017-02-21,16:50:00,185,187.9,185,186.9,1652,0
2017-02-22,09:05:00,195,195.9,190,195.9,2982,0
2017-02-22,09:10:00,195.75,196.4,195.75,196.4,1233,0
2017-02-22,09:15:00,196.4,197.6,193,194.2,1678,0
2017-02-22,09:20:00,194,197.15,191,191.5,2212,0
2017-02-22,09:25:00,193.95,194.9,192,194.8,479,0
2017-02-22,09:30:00,194,194.7,192.15,193,1737,0
2017-02-22,09:35:00,194.1,194.7,194.1,194.7,460,0
2017-02-22,09:40:00,194.7,195.9,194.5,195.9,774,0
2017-02-22,09:45:00,195.05,195.6,194.7,195.6,495,0
2017-02-22,09:50:00,195.6,195.8,194,194,406,0
2017-02-22,09:55:00,194,194.95,193.95,194,786,0
2017-02-22,10:00:00,194,194.5,191.6,193,1371,0
