Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-20,02:35:00,86.3,86.55,86.3,86.45,263147,0
2017-02-20,02:40:00,86.45,86.55,86.4,86.55,165000,0
2017-02-20,02:45:00,86.55,86.55,86.4,86.5,202400,0
2017-02-20,02:50:00,86.5,86.6,86.4,86.55,193000,0
2017-02-20,02:55:00,86.55,87.2,86.55,87.2,371088,0
2017-02-20,03:00:00,87.2,87.3,87.2,87.2,300695,0
2017-02-20,03:05:00,87.2,87.4,87.2,87.35,189700,0
2017-02-20,03:10:00,87.35,87.7,87.3,87.65,590500,0
2017-02-20,03:15:00,87.65,87.65,87.5,87.55,264500,0
2017-02-20,03:20:00,87.55,87.6,87.5,87.6,144000,0
2017-02-20,03:25:00,87.6,87.65,87.55,87.55,116500,0
2017-02-20,03:30:00,87.55,87.6,87.55,87.6,41000,0
2017-02-20,03:35:00,87.6,87.6,87.55,87.55,122000,0
2017-02-20,03:40:00,87.55,87.6,87.35,87.4,265000,0
2017-02-20,03:45:00,87.4,87.4,87.2,87.25,240020,0
2017-02-20,03:50:00,87.25,87.25,87.15,87.2,85500,0
2017-02-20,03:55:00,87.2,87.25,87.1,87.1,169500,0
2017-02-20,04:00:00,87.1,87.1,87,87.1,245500,0
2017-02-20,04:05:00,87.1,87.1,86.7,86.9,426700,0
2017-02-20,04:10:00,86.9,86.95,86.75,86.75,184500,0
2017-02-20,04:15:00,86.75,86.95,86.75,86.95,288500,0
2017-02-20,04:20:00,86.95,87.1,86.95,86.95,192420,0
2017-02-20,04:25:00,86.95,86.95,86.85,86.9,138000,0
2017-02-20,04:30:00,86.9,86.95,86.85,86.95,42000,0
2017-02-20,04:35:00,86.95,86.95,86.55,86.7,422000,0
2017-02-20,04:40:00,86.7,86.7,86.55,86.7,413000,0
2017-02-20,04:45:00,86.7,86.7,86.6,86.65,132041,0
2017-02-20,04:50:00,86.65,86.7,86.6,86.6,86500,0
2017-02-20,04:55:00,86.6,86.6,86.55,86.55,163500,0
2017-02-20,05:00:00,86.55,86.7,86.5,86.6,451000,0
2017-02-20,06:05:00,86.6,86.75,86.6,86.7,278000,0
2017-02-20,06:10:00,86.7,86.75,86.7,86.7,111000,0
2017-02-20,06:15:00,86.7,86.75,86.65,86.75,64500,0
2017-02-20,06:20:00,86.75,86.75,86.65,86.65,73500,0
2017-02-20,06:25:00,86.65,86.85,86.65,86.85,250000,0
2017-02-20,06:30:00,86.85,86.9,86.6,86.7,261500,0
